;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;x
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;x,,
gtfo_disabled_title;Deactivate 'Release Vassal' decisions;;;;;;;;;;;;x,,
gtfo_disabled_desc;The 'Release Vassal' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;x,,
gtfo_ACO_title;Grant Acoma Independence;;;;;;;;;;;;x,,
gtfo_ACO_desc;We've had a good run, but it's time to end our rulership of Acoma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ADE_title;Grant Aden Independence;;;;;;;;;;;;x,,
gtfo_ADE_desc;We've had a good run, but it's time to end our rulership of Aden: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AFG_title;Grant Afghanistan Independence;;;;;;;;;;;;x,,
gtfo_AFG_desc;We've had a good run, but it's time to end our rulership of Afghanistan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AIN_title;Grant Ainu Independence;;;;;;;;;;;;x,,
gtfo_AIN_desc;We've had a good run, but it's time to end our rulership of Ainu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AJU_title;Grant Ajuuraan Independence;;;;;;;;;;;;x,,
gtfo_AJU_desc;We've had a good run, but it's time to end our rulership of Ajuuraan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AKH_title;Grant Astrakhan Independence;;;;;;;;;;;;x,,
gtfo_AKH_desc;We've had a good run, but it's time to end our rulership of Astrakhan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALD_title;Grant Algiers Independence;;;;;;;;;;;;x,,
gtfo_ALD_desc;We've had a good run, but it's time to end our rulership of Algiers: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALH_title;Grant Al Bahrein Independence;;;;;;;;;;;;x,,
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Al Bahrein: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ALM_title;Grant Altamaha Independence;;;;;;;;;;;;x,,
